country,oecd_ai,oxford_ai,AI_INDEX,rank,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE,PQC,SCI_PLUS_SCORE
Myanmar,0.115524016439302,0.1142309597123231,0.1148774880758125,101,0.093180430849916,0.1477255644262144,0.1380218263443103,0.1865758947172464,0.1413759290844218,0.3982582837723025,0.21817056697751225
Honduras,0.158787750940944,0.1473697810124674,0.1530787659767057,102,0.2433674280915834,0.3376932295728994,0.3488338367315275,0.1884177004703969,0.2795780487166018,0.203483432455395,0.21204674904956752
Zimbabwe,0.271886435823985,0.2471523007687172,0.2595193682963511,103,0.2352908109529183,0.2057094633465343,0.2661927666887832,0.1868176117611609,0.2235026631873492,0.1503823279524214,0.2111347864787072
Guinea,0.085428206552914,0.0910833100062444,0.0882557582795792,104,0.2501984931531189,0.2744191850023676,0.288532533585945,0.204556104341068,0.2544265790206249,0.2300339847068818,0.19090544066902862
Libya,0.2700587776282506,0.2467431795180982,0.2584009785731744,105,0.120054554830825,0.0710878468774149,0.1691998958062089,0.122495718368579,0.1207095039707569,0.1858538657604078,0.18832144943477971
Chad,0.1077182975074923,0.1052948902909067,0.1065065938991995,106,0.1799973459326062,0.2273585420653633,0.240842649991827,0.1548202261653553,0.2007546910387879,0.2212192013593882,0.17616016209912522
Nicaragua,0.1606908897015279,0.1478865657500916,0.1542887277258097,107,0.1385822306994021,0.2505900381873046,0.2515162249398233,0.1452205900092463,0.1964772709589441,0.1769328802039082,0.17589962629622066
Mali,0.1723190107938534,0.1556814022092547,0.164000206501554,108,0.2628752256389062,0.3054786406524127,0.1989243010726219,0.249037991439816,0.2540790397009392,0.0796516567544605,0.16591030098565124
Madagascar,0.126380178717407,0.1253202988738399,0.1258502387956234,109,0.3129478812661384,0.3087656834716482,0.2941406309833327,0.2423614542009848,0.289553912480526,0.0707306711979609,0.16204494082470342
Liberia,0.0460784794159853,0.0547361167933506,0.0504072981046679,110,0.3164263467552536,0.2863941545553439,0.2080985068835684,0.233752398386819,0.2611678516452462,0.0972812234494477,0.1362854577331206
Burundi,0.088523938238119,0.0933011778385478,0.0909125580383334,111,0.2135513775799822,0.293104197508113,0.2620474295563323,0.1383744142784739,0.2267693547307254,0.0088147833474936,0.10883223203885078
Haiti,0.0595030379517275,0.0650933442432333,0.0622981910974804,112,0.1424400210461062,0.1372408463666751,0.0352970392226557,0.1204843890080139,0.1088655739108627,0.0,0.05705458833611437
