country,PC1,PC2,PC3
Equatorial Guinea,-0.48477713158291175,0.03599719733197626,0.21988562760700803
"Equatorial Guinea, Republic of",-0.04005896724174683,0.031225299333709343,0.020875914708506475
Eritrea,-0.5861257525951645,0.06739599962505023,0.25867666148531754
Estonia,0.8133867190266467,0.03885494706102727,0.05956118988459081
"Estonia, Republic of",-0.0044465938155974875,-0.006012422097073469,-0.001587005571451629
Eswatini,-0.46301693353236284,-0.06338079140910613,-0.1934745933090113
"Eswatini, Kingdom of",-0.034174630031909216,0.02507240109234056,0.017164300319224658
Ethiopia,-0.19774419694518733,0.19118400454785653,-0.031204877387698143
"Ethiopia, The Federal Democratic Republic of",-0.01920399495210892,0.009418506529554428,0.007721397474367578
Federal Republic of Somalia,-0.21915789971140573,0.232974429504102,0.04509769989580866
Fiji,-0.0262033998115107,-0.23323712518686973,-0.18214863337447318
"Fiji, Republic of",-0.03627844235602459,0.027272231368480823,0.018491304502717153
Finland,0.9584824804670137,-0.1324950203379221,0.060690876353832864
France,0.749865069173334,0.1445916823701045,-0.04856377697782201
French Guiana,0.11609283829808532,-0.14127662807889066,-0.02107419222704834
Gabon,-0.27047499376984663,0.04290960269498385,0.11533492211261474
Gambia (Republic of The),-0.13529212877513058,-0.14588054992130145,0.10826513318487108
"Gambia, The",-0.05722066101245869,0.05245111850170211,0.01158726240643114
Georgia,0.14851976194316968,-0.10578476692752034,0.005502357401085948
Germany,0.8816325077457987,-0.015726137587714892,-0.022377011317753243
Ghana,0.05119230684803368,0.07393126795650508,-0.03447039418520147
Greece,0.3712072096750028,0.1712934595384049,0.0285765650957778
Greenland,0.15601259713216195,-0.18584032404810946,-0.02895356630635075
Grenada,-0.10611116824722641,-0.28024982564694484,0.13502623595539376
Guam,0.09863630116667978,-0.12178934067736269,-0.017628615645303984
Guatemala,-0.49286899422583036,-0.0604661840389961,-0.2479387300746175
Guinea,-0.6251775622583059,-0.09856333160903641,-0.1195570585873325
Guinea Bissau,-0.2328279221929117,-0.26708604774798683,0.1918249269493195
Guinea-Bissau,-0.15250411804231792,0.15832654455307932,0.033413809442744295
Guyana,-0.15492179388030372,-0.10367732224299708,0.0970607053341611
Haiti,-0.9242411090268493,-0.025035710352435965,-0.26380464054363045
Honduras,-0.5733798488495244,-0.08598239766948715,-0.16634956966031603
"Hong Kong SAR, China",0.1544206181635862,-0.18406314731114887,-0.028639341015764014
Hungary,0.3821779527345153,0.25093630548745177,0.09492959801486077
Iceland,0.7242428554498133,-0.17204283125078387,-0.030771951973509307
India,0.2832249120764793,0.2530876655979964,-0.07793058150630355
Indonesia,0.06005571409757872,0.1432666264659263,-0.23591124607181815
Iran (Islamic Republic of),0.053956051617795805,0.08929383184711866,-0.053865489531191205
"Iran, Islamic Rep.",-0.1352018095351953,0.13925157679530253,0.028526421409794497
